URL,BROKEN_CARD,ISSUE
https://www.bajajfinserv.in/samsung-galaxy-z-fold-6-price-in-india,3,"Missing href, Missing image src, Empty title"
https://www.bajajfinserv.in/insights/oppo-5g-mobile-in-india,-,Blocked by CDN
https://www.bajajfinserv.in/insights/realme-5g-mobile-in-india,-,Blocked by CDN
https://www.bajajfinserv.in/insights/xiaomi-5g-mobile-in-india,-,Blocked by CDN
https://www.bajajfinserv.in/insights/samsung-5g-mobile-in-india,-,Articles section missing (timeout)
https://www.bajajfinserv.in/insights/vivo-5g-mobile-in-india,-,Articles section missing (timeout)
https://www.bajajfinserv.in/iqoo-5g-mobile-phones,-,Articles section missing (timeout)
https://www.bajajfinserv.in/iqoo-neo-10-pro-5g-price-in-india,1,"Missing href, Missing image src, Empty title"
https://www.bajajfinserv.in/iqoo-neo-10-pro-5g-price-in-india,2,"Missing href, Missing image src, Empty title"
https://www.bajajfinserv.in/iqoo-neo-10-price-in-india,1,"Missing href, Missing image src, Empty title"
https://www.bajajfinserv.in/iqoo-neo-10-price-in-india,2,"Missing href, Missing image src, Empty title"
https://www.bajajfinserv.in/iqoo-neo-10-price-in-india,3,"Missing href, Missing image src, Empty title"
https://www.bajajfinserv.in/iqoo-neo-10-price-in-india,4,"Missing href, Missing image src, Empty title"
https://www.bajajfinserv.in/iqoo-neo-10-price-in-india,5,"Missing href, Missing image src, Empty title"
